activity_0_cnt,activity_1_cnt,activity_2_cnt,activity_3_cnt,activity_4_cnt,text_change_0_cnt,text_change_1_cnt,text_change_2_cnt,text_change_3_cnt,text_change_4_cnt,text_change_5_cnt,text_change_6_cnt,text_change_7_cnt,text_change_8_cnt,text_change_9_cnt,text_change_10_cnt,text_change_11_cnt,text_change_12_cnt,text_change_13_cnt,down_event_0_cnt,down_event_1_cnt,down_event_2_cnt,down_event_3_cnt,down_event_4_cnt,down_event_5_cnt,down_event_6_cnt,down_event_7_cnt,down_event_8_cnt,down_event_9_cnt,down_event_10_cnt,down_event_11_cnt,down_event_12_cnt,down_event_13_cnt,down_event_14_cnt,down_event_15_cnt,up_event_0_cnt,input_word_length_median,input_word_length_skew,down_time_mean,up_time_mean,down_time_std,up_time_std,cursor_position_std,word_count_std,down_time_median,up_time_median,action_time_median,cursor_position_median,word_count_median,down_time_min,up_time_min,action_time_min,cursor_position_min,word_count_min,down_time_max,down_time_quantile,up_time_quantile,action_time_quantile,cursor_position_quantile,word_count_quantile,activity,down_event,up_event,text_change,inter_key_largest_lantency,inter_key_median_lantency,mean_pause_time,std_pause_time,total_pause_time,pauses_half_sec,pauses_1_sec,pauses_1_half_sec,pauses_2_sec,pauses_3_sec,P-bursts_mean,P-bursts_std,P-bursts_count,P-bursts_median,P-bursts_max,P-bursts_first,P-bursts_last,R-bursts_mean,R-bursts_std,R-bursts_median,R-bursts_max,R-bursts_first,R-bursts_last,keys_per_second,product_to_keys,action_time_std,action_time_gap_min,action_time_gap_std,word_event_ratio,time_diff_Leftclick_std,time_diff_ArrowLeft_std,time_diff_ArrowUp_std,time_diff_Delete_std,time_diff_ArrowLeft_mean,time_diff_Shift_sum,time_diff_comma_sum,time_diff_Enter_sum,time_diff_q_median,time_diff_Leftclick_median,time_diff_ArrowDown_median,time_diff_Enter_median,time_diff_Leftclick_max,time_diff_ArrowUp_max,time_diff_Enter_max,cursor_position_diff_Backspace_std,cursor_position_diff_Shift_std,cursor_position_diff_comma_mean,cursor_position_diff_CapsLock_mean,cursor_position_diff_abostrove_mean,cursor_position_diff_Space_sum,cursor_position_diff_comma_median,cursor_position_diff_ArrowUp_median,cursor_position_diff_Delete_median,cursor_position_diff_Leftclick_max,cursor_position_diff_ArrowLeft_max,word_count_diff_q_std,word_count_diff_ArrowRight_std,word_count_diff_Enter_std,word_count_diff_dot_mean,word_count_diff_q_sum,time_diff_Remove/Cut_std,time_diff_Nonproduction_std,time_diff_Remove/Cut_mean,time_diff_Nonproduction_sum,time_diff_Replace_sum,time_diff_Replace_median,cursor_position_diff_Paste_mean,cursor_position_diff_Replace_median,word_len_count,word_len_mean,word_len_std,word_len_min,word_len_max,word_len_first,word_len_last,word_len_sem,word_len_q1,word_len_median,word_len_q3,word_len_skew,word_len_kurt,word_len_sum,word_len_ge_5_count,word_len_ge_6_count,word_len_ge_7_count,word_len_ge_8_count,word_len_ge_9_count,word_len_ge_10_count,word_len_ge_11_count,word_len_ge_12_count,sent_count,sent_len_mean,sent_len_std,sent_len_min,sent_len_max,sent_len_first,sent_len_last,sent_len_sem,sent_len_q1,sent_len_median,sent_len_q3,sent_len_skew,sent_len_kurt,sent_len_sum,sent_word_count_mean,sent_word_count_std,sent_word_count_min,sent_word_count_max,sent_word_count_first,sent_word_count_last,sent_word_count_sem,sent_word_count_q1,sent_word_count_median,sent_word_count_q3,sent_word_count_skew,sent_word_count_kurt,sent_word_count_sum,sent_len_ge_50_count,sent_len_ge_60_count,sent_len_ge_75_count,sent_len_ge_100_count,paragraph_count,paragraph_len_mean,paragraph_len_std,paragraph_len_min,paragraph_len_max,paragraph_len_first,paragraph_len_last,paragraph_len_sem,paragraph_len_q1,paragraph_len_median,paragraph_len_q3,paragraph_len_skew,paragraph_len_kurt,paragraph_len_sum,paragraph_word_count_mean,paragraph_word_count_std,paragraph_word_count_min,paragraph_word_count_max,paragraph_word_count_first,paragraph_word_count_last,paragraph_word_count_sem,paragraph_word_count_q1,paragraph_word_count_median,paragraph_word_count_q3,paragraph_word_count_skew,paragraph_word_count_kurt,paragraph_word_count_sum,word_len_ge_6_count_mp,word_len_ge_6_count_mt,word_len_ge_6_count_mi,word_len_ge_6_count_md,word_len_ge_6_count_mk
2010,417,120,7,0,1940,436,28,14,4,5,0,0,0,1,0,0,0,0,1619,357,417,27,2,92,2,21,12,0,0,4,0,3,0,0,1619,4.0,1.4342139450724272,848180.7719984357,848297.0187719985,395112.66596083215,395105.68565532897,439.3596188484249,76.49837239600791,891716.0,891802.0,112.0,727.0,132.0,4526,4557,0,0,0,1801877,891716.0,891802.0,112.0,727.0,132.0,7,12,12,17,28.545,0.06,0.3162950144210963,1.2986781793453297,767.6480000000007,94,36,21,15,59,31.0,29.817034653961745,73,25.0,185,63,61,4.389473684210526,4.503650379561161,2.0,19.0,1.0,12.0,1.3502514405185588,0.6295838483724763,91.7973743446592,-142.0,4294.022274249603,0.1001173249902229,17256.185711984435,919.9459223236984,,,1039.5,258811,15189,8564,39.0,1413.0,,264.0,154136.0,,7991.0,0.0,0.0,1.0,,1.0,346,1.0,,,591.0,-1.0,0.4089861834961786,0.0,0.0,0.0,310,1656.1970142962211,18052.526631805657,486.82254196642685,785511,8863,997.0,,-9.0,256,4.859375,2.515003995630865,1,11,9,9,0.157187749726929,3.0,4.0,7.0,0.6701288850696298,-0.558173689891043,1244,122,89,66,46,32,12.0,6.0,0.0,14,106.14285714285714,41.12804983847987,31,196,31,89,10.991933677268214,75.5,119.5,126.0,0.1318633471586339,0.843849050001583,1486,18.285714285714285,6.497674985699134,6,29,6,16,1.7365766862212448,12.25,21.0,22.0,-0.506007288423776,-0.5267544856826425,256,13,12,10.0,9.0,3,508.0,134.20879255846094,390,654,390,480,77.48548251124207,435.0,480.0,567.0,0.8979713916782637,,1524,89.66666666666667,20.744477176668816,71,112,71,86,11.97682948214779,78.5,86.0,99.0,0.7705428291635951,,269,3204,1351821,125757.0,1068,1483.3333333333335
1938,260,254,1,1,1698,432,18,24,7,4,6,6,3,0,0,0,0,0,1490,391,260,97,46,56,49,15,21,3,2,6,0,3,0,0,1490,4.0,3.795259094870464,518855.347595762,518967.5688671557,384959.4041770636,384952.7287962653,449.1331738570197,97.76309027760496,407673.0,407789.0,115.0,743.0,186.0,30623,30853,0,0,0,1788842,407725.0,407841.0,115.0,743.0,186.0,5,17,17,12,20.186,0.062,0.201374431301183,0.6928624479644487,442.6210000000002,119,28,9,14,18,72.73333333333333,64.21780467114715,30,58.5,249,108,9,3.25,3.414414715306456,2.0,15.0,11.0,9.0,1.250038388349051,0.762056414922657,55.43118918498115,-166.0,4897.30364137644,0.1316218418907905,23304.593400030404,417.631034673489,32302.75908494505,,185.16326530612244,26350,26696,36575,44.0,9322.0,519.0,3008.0,145899.0,45946.0,20186.0,0.0,0.0,1.0,,1.0,392,1.0,-81.0,,1336.0,-1.0,0.4135659806505867,0.0,0.0,0.0,326,489.00829887100736,14635.13177949809,325.4153846153846,1076892,1028,1028.0,2.0,-5.0,323,4.040247678018575,2.243331581471589,1,15,4,3,0.1248223081845532,3.0,4.0,5.0,1.76134654180045,4.523647107674569,1305,102,60,33,20,14,13.0,8.0,5.0,15,107.66666666666669,64.71328707313147,19,226,19,143,16.708898874171858,56.5,92.0,149.5,0.5080482033236184,-0.7268286062491347,1615,21.666666666666668,12.664160153004714,3,45,3,30,3.269872091086055,12.0,20.0,31.0,0.3918572834591016,-0.9350361936572248,325,11,11,9.0,7.0,6,278.1666666666667,98.55438430971331,176,462,240,284,40.23465891215904,228.75,261.0,283.5,1.548346752376532,3.1075050105673245,1669,59.16666666666666,20.370730636544845,37,96,53,60,8.316315957869273,47.75,56.5,62.25,1.2996143720672066,2.342702736765164,355,1680,1601760,559320.0,1260,967.741935483871
3515,439,175,7,0,3257,615,23,26,23,0,2,1,0,0,4,0,0,0,2904,552,439,39,6,129,0,21,23,0,0,17,0,0,0,0,2899,4.0,1.695634450143943,828491.7751450677,828593.6129110252,489500.7965653484,489500.4387835343,592.7697629541335,108.93506753663294,759582.0,759674.5,94.0,530.5,193.0,4441,4540,0,0,0,1771219,759620.0,759720.0,94.0,531.0,193.0,4,13,18,19,52.582,0.037,0.1402802225594327,1.4928148718841676,554.6679999999972,47,15,10,7,20,145.14814814814815,134.51814395883946,27,93.0,513,121,13,4.771739130434782,6.399009643274161,2.0,37.0,1.0,1.0,2.237402304626228,0.6542741527567021,82.38376611454355,-250.0,3937.359024531029,0.097678916827853,19661.079173776237,,,,,39669,5473,69386,-2.0,1435.0,,311.0,153886.0,,49254.0,7.30611652518953,0.0,1.0,,,552,1.0,,,1826.0,,0.2693010297833379,0.0,0.0,0.0,49,807.3646468224283,17105.087941545564,200.34168564920276,934796,1499,114.0,,-46.0,408,5.279411764705882,2.798800664001381,1,13,11,3,0.1385612800371226,3.0,5.0,8.0,0.6217511377338855,-0.5618440914932603,2154,210,160,133,103,66,31.0,25.0,6.0,19,133.8421052631579,33.48011542176894,73,189,139,161,7.680865249556234,108.0,139.0,161.0,-0.2208443572080392,-0.7563069308908275,2543,21.473684210526315,5.263801130284207,12,29,21,26,1.207598799252844,17.5,21.0,26.5,-0.2425596834654637,-1.171619254990348,408,19,19,18.0,17.0,6,429.5,101.08758578579273,296,568,491,296,41.26883408416898,356.75,444.5,483.5,-0.1037673669628946,-0.9702658208612354,2577,68.33333333333333,16.9666339226927,45,88,79,45,6.926599293865482,55.5,73.5,78.75,-0.5029078864648646,-1.5367637136658372,410,2400,875680,229600.0,3680,4324.324324324324
1304,151,99,1,1,1146,281,13,3,4,3,0,0,0,0,5,0,0,0,1038,243,152,68,0,18,0,13,3,0,0,3,2,2,0,0,1038,4.0,1.7665752876652938,785483.0263496144,785604.8746786632,385205.01439878665,385206.08125025616,307.62720040596514,61.882249996500704,848240.5,848405.5,110.0,593.5,108.5,41395,41513,0,0,0,1404394,848833.0,849022.0,110.0,594.0,109.0,5,15,15,10,45.225,0.131,0.6089766323024056,2.2132243368139783,886.0610000000001,165,77,27,27,48,19.90277777777778,18.764785511000795,72,17.5,97,97,4,2.3230769230769237,3.828787717361121,1.0,30.0,2.0,1.0,1.0674402123435704,0.793127147766323,113.76822550901367,-516.0,4242.152639079005,0.1323907455012853,32675.079064556216,,,,,42657,1736,45703,161.0,1543.0,,418.0,101690.0,,45225.0,0.0811107105653812,0.0,1.0,0.0,1.0,243,1.0,,,100.0,,0.4054442004912691,,0.0,0.0,215,3107.8634927306766,14442.956544556542,923.7615894039736,305890,659,659.0,12.0,-11.0,208,4.490384615384615,2.6539377081240536,1,13,2,8,0.1840174709332434,2.0,4.0,6.0,1.3346323400833082,2.006273733354673,934,81,61,41,17,15,12.0,9.0,8.0,13,86.84615384615384,33.195999141076605,39,144,99,80,9.206913618723863,62.0,80.0,99.0,0.3487657381834551,-0.9525089029776136,1129,16.0,6.493586579592718,7,27,17,14,1.8009968749527978,11.0,15.0,18.0,0.6560551498097676,-0.5380510411177974,208,12,10,8.0,3.0,3,384.0,56.471231613982,347,449,347,356,32.60368077380221,351.5,356.0,402.5,1.6826889661953328,,1152,69.33333333333333,10.214368964029708,62,81,62,65,5.897268670984711,63.5,65.0,73.0,1.565482448477646,,208,4697,105896,94123.0,183,465.64885496183206
1942,517,72,0,0,1964,397,32,25,12,25,0,0,2,0,2,0,0,0,1541,324,517,39,0,33,0,23,24,0,0,10,0,17,0,0,1541,4.0,1.255201953788355,713354.1975503754,713478.1414460688,405576.4090338523,405575.6317459898,341.7294091834081,77.2550536256005,686588.0,686728.0,129.0,630.0,113.0,78470,78693,0,0,0,1662390,686588.0,686728.0,129.0,630.0,113.0,3,11,11,9,59.939,0.057,0.258844652297681,1.6342815461087667,636.4989999999976,59,22,11,13,38,50.75,56.67544779689634,48,35.0,257,45,182,9.070175438596491,17.040770070965948,3.0,119.0,2.0,2.0,1.55239702980173,0.5795038633590891,62.082012674388594,-158.0,3896.20923714649,0.0995653891742394,25245.690795179413,,,,,104497,44354,101054,45.0,9064.0,,982.0,110688.0,,59939.0,0.0,0.0,1.0,,1.0,324,1.0,,,468.0,,0.3867904471366991,,0.0,0.0,282,1133.1449886848875,19131.96334940084,253.7620889748549,688533,0,,,,255,4.509803921568627,2.495448999565685,1,12,11,11,0.1562710780692167,3.0,4.0,5.0,1.2147375051361793,0.9658990180333552,1150,95,61,48,33,21,20.0,12.0,3.0,16,86.8125,44.094170060602494,22,182,75,22,11.023542515150623,60.0,74.0,106.25,1.0312025270892329,0.6889932329091213,1389,15.9375,8.667708270740695,3,35,11,3,2.1669270676851737,11.0,12.5,18.25,1.1485128546772698,0.8884212115762375,255,14,13,8.0,5.0,5,283.4,232.3366092547621,23,627,351,23,103.90409039109096,124.0,292.0,351.0,0.6368127020241403,0.2376664878887684,1417,51.2,41.82941548719035,3,114,61,3,18.70668329768802,26.0,52.0,61.0,0.686759612179647,0.7229161459235183,256,1342,2705594,552904.0,1464,1070.1754385964912
1794,338,76,3,0,1732,378,12,5,3,0,0,0,0,0,0,1,0,0,1451,327,340,12,24,37,0,11,4,0,0,3,1,0,0,0,1451,4.0,1.9079204276974824,544339.1913161465,544420.5956580733,484650.5779748612,484649.6723054766,409.6093704948651,81.20882445728046,378996.0,379095.0,77.0,667.0,134.0,42636,42744,0,0,0,1778845,378996.0,379095.0,77.0,667.0,134.0,4,11,11,11,127.269,0.108,0.4115009380863036,4.053250659180414,877.3199999999995,129,28,11,9,17,80.64,61.15613896685544,25,73.0,233,17,16,2.725806451612903,3.492939940172047,2.0,28.0,8.0,1.0,1.2279125486672655,0.6782363977485929,40.65305428584797,-1026.0,6498.052509148023,0.1243781094527363,27213.97817595052,,,,,170423,882,2649,122.0,3190.0,,637.0,109269.0,,1378.0,0.2303532960163535,0.0,1.0,0.0,,327,1.0,,,477.0,,0.4254370654862599,0.0,0.0,0.0,344,740.5114612702805,26694.24539280276,301.89940828402365,685487,2972,944.0,,-2.0,275,4.203636363636364,2.1686185548936603,1,12,2,4,0.1307726192724548,3.0,4.0,5.0,1.2452325589701598,1.7780795052477345,1156,98,61,28,21,16,13.0,5.0,2.0,10,142.3,53.47907171138175,68,219,107,196,16.911567375944525,108.25,144.5,186.25,-0.0816088460241021,-1.4364688304462256,1423,27.7,11.842015594202422,10,44,22,41,3.7447741364911895,20.5,27.0,38.25,-0.0592841823626102,-1.285113592899259,277,10,10,8.0,8.0,4,360.75,198.78359254894923,181,609,181,609,99.3917962744746,211.0,326.5,476.25,0.6046158976602093,-2.29412327352928,1443,70.25,37.37534838187688,35,116,35,116,18.68767419093844,42.5,65.0,92.75,0.4988532224628245,-2.603943387261003,281,1708,53802,194590.0,244,564.8148148148148
1583,148,34,0,0,1424,274,16,8,4,2,0,1,0,0,2,0,0,0,1296,257,148,19,0,13,0,15,7,0,0,4,1,2,0,0,1296,4.0,1.3920808073820166,354314.4577903683,354424.1756373938,242048.21674987816,242044.56086982507,455.3639115485538,72.38823351966136,331472.0,331553.0,110.0,711.0,116.0,6572,6810,0,0,0,1768065,331472.0,331553.0,110.0,711.0,116.0,3,13,13,9,122.688,0.077,0.8710612362796065,7.889733217886848,1507.8069999999989,44,12,9,6,26,59.63333333333333,99.46112854755884,30,17.0,460,129,1,2.4262295081967213,3.523535234171512,1.0,24.0,1.0,1.0,0.9826154828638332,0.829000577700751,37.01833130362483,-135.0,7847.948375057399,0.1371104815864022,4076.654841529964,,,,,38965,7997,1144,61.0,1796.5,,225.0,13942.0,,546.0,0.0,0.0,1.0,0.0,1.0,257,1.0,,,223.0,,0.3693335085988099,,0.0,0.0,211,933.0254087907588,4842.105346201394,292.6689189189189,86150,0,,,,243,4.843621399176954,2.499634364310641,1,18,1,9,0.1603516192344875,3.0,4.0,6.0,1.139738166113857,2.4528008489563917,1177,112,81,58,39,23,10.0,3.0,2.0,14,100.42857142857144,37.32129580921757,27,181,81,181,9.974535867752447,82.25,94.0,118.5,0.2663887490139331,1.117825468234698,1406,17.357142857142858,6.096747466504552,5,31,15,31,1.6294242995244337,15.0,17.0,20.75,0.1911285298101095,1.6947809171701866,243,13,13,12.0,6.0,3,477.0,104.484448603608,360,561,561,360,60.32412452742269,435.0,510.0,535.5,-1.2794892341348834,,1431,81.0,17.776388834631177,61,95,95,61,10.263202878893768,74.0,87.0,91.0,-1.3458329954115096,,243,972,647757,145516.5,567,1051.948051948052
1975,222,155,1,0,1714,425,18,17,11,2,2,0,2,0,2,4,0,0,1560,366,219,71,1,78,0,18,15,0,1,9,0,1,3,0,1560,4.0,4.635960945220205,487666.2923926902,487757.0480237994,279593.81068045687,279591.2745827165,501.122290308201,93.48678321080848,452862.0,452938.0,91.0,666.0,144.0,106549,106650,0,0,0,1799221,452862.0,452938.0,91.0,666.0,144.0,4,17,17,12,6.061,0.075,0.161214383249886,0.3313014094041458,354.1879999999996,101,25,14,7,4,190.8181818181818,295.8302953322456,11,54.0,958,44,78,3.827586206896552,5.085714188609843,2.0,28.0,1.0,16.0,1.2978849850598493,0.7979062357760582,41.934951692134895,-120.0,7726.032219043798,0.1308967275818104,40657.45238992934,,,2996.751797085193,,77468,9204,10038,84.0,1494.0,,1050.0,305373.0,1923.0,1770.0,0.0,0.0,1.0,,1.0,366,1.0,-7.0,0.0,1613.0,,0.4043922394624371,,0.0,0.0,321,460.6098061510216,29412.74540311134,228.7072072072072,1151157,575,575.0,,0.0,309,4.595469255663431,2.4378200135971024,1,13,8,2,0.1386827351596947,3.0,4.0,6.0,1.2854409594454947,1.9217407556113684,1420,129,85,57,40,18,14.0,9.0,8.0,20,85.45,39.77763852110616,32,169,32,43,8.894550371760758,51.5,79.5,120.25,0.5058957257517508,-0.67995856346616,1709,15.45,6.345118305893869,5,27,5,10,1.418811585725699,10.0,15.0,20.5,0.3160236287733441,-0.8028842200097874,309,16,13,12.0,6.0,4,436.75,60.50550939101882,364,508,455,364,30.25275469550941,406.0,437.5,468.25,-0.066062655600799,-0.0763570622655489,1747,77.75,11.757976016304848,68,93,81,68,5.878988008152423,68.75,75.0,84.0,0.8137294991614888,-1.4496761050197993,311,2125,782340,126990.0,1275,1133.3333333333335
1426,118,41,0,0,1240,268,25,6,5,0,0,0,0,0,0,0,0,0,1148,245,120,29,0,10,0,23,5,0,0,5,0,0,0,0,1148,4.0,2.020351698925247,837617.3495268138,837692.3608832808,345748.107950618,345747.1395299131,396.027046191146,66.91791105953358,816998.0,817059.0,69.0,679.0,118.0,5273,5397,0,0,0,1797305,816998.0,817059.0,69.0,679.0,118.0,3,8,8,6,214.541,0.187,0.8663879533678757,7.059517321354865,1337.703,118,52,19,21,53,21.92957746478873,20.70150025181886,71,18.0,112,112,48,3.1052631578947367,3.811713622465237,1.0,20.0,3.0,1.0,0.8614989747381049,0.8471502590673575,33.244614848179324,-25.0,8224.216013726922,0.1406940063091482,10272.855564274449,,,,,271499,4964,93013,212.0,3754.0,,3978.0,33952.0,,52048.0,0.1285558658492785,0.0,1.0,,,245,1.0,,,1002.0,,0.4074361053828707,,0.0,0.0,241,3665.753046542095,26777.087566097176,984.6271186440678,335715,0,,,,223,4.753363228699552,2.330211854400695,2,13,2,10,0.1560425273524942,3.0,4.0,6.0,1.0993389981150443,1.1338803535873625,1060,102,70,37,25,21,13.0,6.0,2.0,21,60.095238095238095,23.30644709496658,29,112,33,75,5.0858837139603805,39.0,53.0,79.0,0.4596592442939542,-0.6071148943684501,1262,10.61904761904762,3.9809068122249545,5,19,7,15,0.8687050857898195,7.0,10.0,14.0,0.3270807690705908,-0.8493302403785337,223,14,10,8.0,1.0,3,434.3333333333333,132.51540790916854,303,568,303,432,76.50780642813153,367.5,432.0,500.0,0.0792115024394464,,1303,75.0,22.06807649071391,54,98,54,73,12.741009902410928,63.5,73.0,85.5,0.4044792047237766,,225,3640,347480,262780.0,350,374.331550802139
6145,1446,228,7,0,6093,1334,32,73,10,20,0,6,0,4,4,0,0,4,4929,1087,1432,149,9,57,6,29,57,1,1,8,0,16,0,0,4929,4.0,1.965833783885716,884357.5039611551,884450.8471760798,493354.2178517588,493357.5828820048,1004.7737299284402,207.108616978256,888236.0,888300.0,71.0,1844.0,416.0,10731,10801,0,0,0,1853533,888293.0,888356.0,71.0,1844.0,416.0,4,22,22,26,11.601,0.056,0.1130682387037281,0.3397175306235431,858.3010000000003,142,41,24,18,19,188.6,153.08479003864647,35,153.0,611,208,47,5.355555555555555,10.041154472841242,2.0,96.0,2.0,4.0,4.118903984121248,0.541430641549203,198.8966897132204,-226.0,750.5097851662962,0.0944288269869665,4354.940316550192,1077.7780383733934,,,490.5,172340,16955,2768,42.0,2032.0,389.0,196.0,19625.0,228.0,1005.0,9.006589345815668,0.0,1.0,,1.0,1087,1.0,-90.0,,2668.0,-1.0,0.5233238186205766,0.0,0.0,0.0,1102,423.6238466618592,3572.815943784006,127.69017980636238,399031,4012,287.0,,-2.0,742,4.501347708894879,2.464730607318916,1,13,9,5,0.0904831071384718,2.25,4.0,6.0,0.7624032539598433,-0.1405489767986494,3340,302,217,162,112,65,27.0,10.0,4.0,24,169.08333333333334,68.02104320605928,68,317,68,163,13.884737302221131,120.0,155.0,206.0,0.7343651831331777,0.0968617630088028,4058,30.916666666666668,11.8685432484606,13,54,13,29,2.422656245740232,21.75,30.0,36.5,0.4891650455302094,-0.5367804863545773,742,24,24,23.0,21.0,4,1026.0,505.5445908456873,716,1777,737,874,252.77229542284363,731.75,805.5,1099.75,1.8891175351116205,3.5875838401906712,4104,186.0,103.50201286287464,123,340,128,153,51.75100643143732,126.75,140.5,199.75,1.9066966511755965,3.657479893102572,744,8897,3679235,440944.0,12369,3875.0
